16 29 51.79,67 57.25 15
16 32 31.99,82 32.27 16.2
16 35 15.5,38 8.06 3.6
16 38 0.89,37 53 0
16 39 19.99,29 50.95 57
16 39 30,53 46.67 40.2
16 40 29.4,32 5.42 25.2
16 40 29.59,39 46.76 45.6
16 42 7.8,68 56.66 39.6
16 42 58.8,39 48.62 37.2
16 43 48.6,17 15.82 49.2
16 45 27.7,27 20.1 6
16 45 54.7,11 13.88 52.8
16 51 8.09,4 59.55 33
16 53 52.2,39 45.62 37.2
16 57 20.71,57 5.9 54
16 59 43.7,32 34.97 58.2
16 59 45.7,57 31.54 32.4
17 0 45.19,30 8.21 12.6
17 4 7.2,29 46.99 59.4
17 4 13.49,78 37.72 43.2
17 4 41.4,60 44.51 30.6
17 7 17.71,45 36.19 11.4
17 10 44.09,46 1.48 28.8
17 13 16.01,63 47.63 37.8
17 20 28.1,0 0 0
17 21 9.5,35 42.26 15.6
17 23 20.81,34 17.96 57.6
17 34 42.6,16 0.52 31.2
17 38 35.81,32 56.02 1.2
17 41 51.5,18 17.33 19.8
17 43 56.5,27 52.84 50.4
17 43 57,66 38.23 13.8
17 46 13.99,62 26.92 55.2
17 48 32.81,70 5.85 51
17 49 51.1,30 18.13 7.8
17 50 49.9,68 8.44 26.4
17 51 32.81,9 39.02 1.2
17 53 58.9,58 5.14 8.4
17 54 35.5,32 34.28 16.8
17 54 58.7,63 10.91 54.6
17 56 5.21,29 14.27 16.2
18 0 45.7,78 28.07 4.2
18 1 32.3,44 4.37 22.2
18 1 46.9,21 9.28 16.8
18 3 50.81,66 5.32 19.2
18 5 6.41,11 1.58 34.8
18 6 50.71,69 49.46 27.6
18 9 12,27 58.2 12
18 10 3.31,56 49.39 23.4
18 15 24.79,68 6.53 31.8
18 17 22.51,24 39.83 49.8
18 18 19.39,47 36.77 46.2
18 19 42.19,68 56.85 51
18 21 20.81,39 42.75 45
18 23 14.09,79 38.81 48.6
18 24 7.1,56 51.02 1.2
18 28 56.9,32 20.06 3.6
18 29 31.8,48 44.77 46.2
18 31 14.81,29 7.16 9.6
18 32 50.21,28 33.6 36
18 34 12.1,20 51.68 40.8
18 35 3.41,32 41.78 46.8
18 35 10.9,62 4.13 7.8
18 42 9,79 46.28 16.8
18 42 33.6,68 9.41 24.6
18 44 2.4,45 33.5 30
18 46 49.8,66 57.75 45
18 48 34.3,32 44 0
18 49 18.1,70 21.2 12
18 54 57.29,73 51.34 20.4
18 57 29.21,63 5.5 30
18 58 26.69,56 45.95 57
19 2 55.9,31 59.7 42
19 21 13.99,48 6.32 19.2
19 23 27.19,47 54.28 16.8
19 25 59.59,21 6.43 25.8
19 26 6.31,50 52.95 57
19 27 48.5,73 58.03 1.8
19 28 20.5,68 14.98 58.8
19 40 25.1,60 41.59 35.4
19 41 46.01,50 35.8 48
19 45 53.5,70 55.82 49.2
19 48 2.81,24 15.07 4.2
19 52 15.79,2 30.4 24
19 55 42.7,51 31.82 49.2
19 59 28.3,40 44.03 1.8
20 5 30.91,77 52.72 43.2
20 8 24.41,-4 18.49 29.4
20 15 55.39,65 54.88 52.8
